Team Number,Advisor,Problem,Ranking,Institution ID
32080,Suopeng Zhang,A,Successful Participant,INST0001
32081,Anjia Mao,A,Successful Participant,INST0002
32082,Jie Zhou,B,Successful Participant,INST0003
32084,Shuxiang Huang,A,Honorable Mention,INST0004
32085,Lin Zhang,A,Successful Participant,INST0005
32086,Hua Tian,A,Successful Participant,INST0006
32087,Liuqiang Zhong,D,Successful Participant,INST0007
32088,Chengdong Dong,A,Successful Participant,INST0008
32089,Hongmei Zhao,B,Meritorious,INST0009
32090,ZHENZHEN CHEN,B,Successful Participant,INST0010
32091,Yuan Sun,C,Successful Participant,INST0011
32092,Lin Zhang,A,Honorable Mention,INST0005
32094,Jinying Tan,B,Successful Participant,INST0012
32095,Ping He,A,Successful Participant,INST0013
32096,Ming Ying Lisa Chu,A,Honorable Mention,INST0014
32097,JINGJIE LI,A,Successful Participant,INST0015
32098,Andriy Bolyachevets,D,Successful Participant,INST0016
32099,Hong Fang,D,Honorable Mention,INST0012
32100,Luwei Ding,B,Successful Participant,INST0012
32101,Zhi Li,A,Successful Participant,INST0012
32102,Zhibin Pan,D,Finalist,INST0012
32103,Yanling Xu,D,Meritorious,INST0012
32104,Hong Fang,A,Successful Participant,INST0012
32105,Zhi Li,A,Successful Participant,INST0012
32106,Luwei Ding,C,Honorable Mention,INST0012
32107,Feng Liu,A,Meritorious,INST0012
32108,Yipin Zhao,D,Successful Participant,INST0017
32109,xin long Ren,D,Meritorious,INST0018
32110,Xuehai Hu,A,Successful Participant,INST0012
32111,Jinying Tan,C,Honorable Mention,INST0012
32112,Zhimin Hou,A,Honorable Mention,INST0012
32113,Feng Liu,A,Successful Participant,INST0012
32114,Haiyang Huang,A,Successful Participant,INST0019
32115,Qicheng Xu,A,Successful Participant,INST0020
32116,Qicheng Xu,A,Successful Participant,INST0021
32118,ping sun,A,Successful Participant,INST0021
32119,Zhengyu Li,A,Successful Participant,INST0021
32120,Housheng Xu,A,Successful Participant,INST0021
32121,Yanling Sun,A,Successful Participant,INST0021
32122,Youlin Ye,A,Successful Participant,INST0021
32123,Fusheng Kou,A,Successful Participant,INST0021
32124,Xin Jing,A,Successful Participant,INST0021
32125,Hongmei Yan,A,Successful Participant,INST0021
32126,Changchun Sun,A,Successful Participant,INST0021
32127,DeWayne R Derryberry,B,Successful Participant,INST0022
32128,DeWayne R Derryberry,B,Successful Participant,INST0022
32129,Qiang Zhu,B,Successful Participant,INST0012
32130,Qiang Zhu,A,Honorable Mention,INST0012
32131,Kai Xing,A,Honorable Mention,INST0023
32132,Liuling Li,A,Successful Participant,INST0024
32133,Chao Wang,B,Meritorious,INST0025
32134,Wei Lin,C,Honorable Mention,INST0026
32135,Xiaole Yue,C,Meritorious,INST0026
32136,Xiao Huayong,C,Meritorious,INST0026
32137,Xingwei Wang,B,Successful Participant,INST0009
32138,Quanyi Lv,C,Honorable Mention,INST0026
32139,Yong Wang,C,Honorable Mention,INST0026
32140,Junqiang Han,C,Honorable Mention,INST0026
32141,Lulu Pan,D,Meritorious,INST0026
32142,Dongshuang Hou,D,Meritorious,INST0026
32143,Genjiu Xu,D,Honorable Mention,INST0026
32144,Youming Lei,D,Meritorious,INST0026
32145,Ying Zhang,D,Meritorious,INST0026
32146,Rong Ma,D,Finalist,INST0026
32147,Li Wang,D,Meritorious,INST0026
32148,Bingchang Zhou,C,Finalist,INST0026
32149,Liang Wang,A,Honorable Mention,INST0026
32150,Ligong Wang,A,Outstanding Winner,INST0026
32151,Weidong Yan,A,Honorable Mention,INST0026
32152,Xuewei Cui,D,Meritorious,INST0026
32153,Xiaohong An,A,Honorable Mention,INST0026
32154,Mei Yu,B,Meritorious,INST0026
32155,Yaning Tang,A,Successful Participant,INST0026
32156,Xiaodong Wang,A,Honorable Mention,INST0026
32157,Junfeng Zhao,B,Successful Participant,INST0026
32158,Hongwei She,B,Successful Participant,INST0026
32159,Zhenhai Wang,A,Successful Participant,INST0026
32160,Haibo Wu,B,Honorable Mention,INST0026
32161,XiaoYin Wang,A,Successful Participant,INST0012
32162,Yanling Xu,A,Successful Participant,INST0012
32163,xin long Ren,B,Honorable Mention,INST0018
